y,x,MarketName,WIC,Organic,Vegetables,Fruits,Meat,Grains
37.927427,-95.400669,Allen County Farmers' Market,N,-,Y,N,Y,N
37.927427,-95.400669,Allen County Farmers' Market,N,N,Y,N,Y,N
45.480164,-122.858722,Aloha Community Farmers' Market,Y,-,Y,Y,N,N
41.483907,-120.542201,Alturas Farmers Market,Y,N,Y,Y,Y,N
40.153501,-75.225298,Ambler Farmers' Market,Y,Y,Y,Y,Y,N
42.025222,-93.614943,Ames Main Street Farmers' Market,Y,Y,Y,Y,Y,N
34.437795,-84.099043,Amicalola Regional Farmers Market,N,-,Y,Y,Y,N
36.257792,-86.717491,Amqui Station Farmers Market,N,-,Y,Y,Y,N
46.099059,-113.139108,Anaconda Community Market,N,N,Y,Y,Y,N
48.516974,-122.609181,Anacortes Farmers Market,Y,Y,Y,Y,Y,Y
34.506898,-82.652197,Anderson County Farmers Market,Y,-,Y,Y,Y,N
38.076447,-84.917629,Anderson County Farmers Market ,N,-,Y,Y,Y,N
41.981745,-87.668602,Andersonville Farmers Market,Y,Y,Y,Y,Y,Y
42.653616,-71.143138,Andover Farmers Market,Y,Y,Y,Y,N,N
38.832801,-77.196229,Annandale Farmers Market ,N,N,Y,Y,Y,N
45.2636097,-94.1238322,Annandale Farmers Market - ACT,N,Y,Y,Y,N,Y
45.138703,-89.14985,"Antigo Farmers Market, Inc.",Y,N,Y,Y,Y,N
42.478128,-88.09457,Antioch's Farmers Market,N,-,N,Y,N,Y
44.26201,-88.40703,Appleton Downtown Farm Market,Y,Y,Y,Y,Y,Y
41.483658,-71.305831,Aquidneck Growers Market - Wednesday,N,Y,Y,Y,Y,N
41.509139,-71.304641,Aquidneck Growers Market- Saturday Summer,N,Y,Y,Y,Y,N
41.546506,-71.261378,Aquidneck Growers' Markets,Y,Y,Y,Y,Y,N
43.072884,-73.146078,Arlington Village Farmers Market,N,N,Y,Y,Y,N
41.814767,-71.4316,Armory Farmers Market,Y,-,Y,Y,N,N
38.453275,-90.353093,Arnold Farmers Market,N,Y,Y,Y,Y,N
29.027562,-81.304341,Artisan Alley Farmers and Makers Market,N,N,Y,Y,Y,Y
33.365531,-82.073422,Artistlane Farmers Market,N,-,Y,Y,N,Y
42.260027,-71.461538,Ashland Farmers Market,Y,Y,Y,Y,Y,N
35.840771,-90.667327,ASU Regional Farmers' Market,Y,N,Y,Y,Y,N
39.560737,-95.119878,Atchison Farmers Market,N,N,Y,Y,Y,Y
39.336038,-82.056622,Athens Farmers Market,Y,Y,Y,Y,Y,Y
33.959088,-83.380247,"Athens Farmers Market, L.L.C.",N,Y,Y,Y,Y,N
33.9644564,-83.4121317,"Athens Farmers Market, LLC",N,Y,Y,Y,Y,Y
47.944594,-116.707904,Athol Farmers Market,N,N,Y,Y,Y,N
41.937562,-71.299235,"Attleboro Farmers Market, inc",N,Y,Y,Y,Y,N
34.117828,-118.260151,Atwater Village Farmers' Market,Y,Y,Y,Y,N,Y
47.298267,-122.218459,Auburn Farmers Market,Y,Y,Y,Y,Y,Y
42.744684,-76.699995,Aurora Farmers Market,N,-,Y,Y,N,N
36.948908,-93.7201867,Aurora Local Farmer's Market - Summer Market,N,N,Y,Y,N,N
39.765279,-86.38263,Avon Farmers Market,Y,-,N,N,Y,N
41.78971,-72.860448,Avon Library Farmers Market,Y,Y,Y,Y,N,N
39.7622329,-86.817696,Bainbridge Farm Market,Y,Y,Y,Y,Y,N
44.966999,-92.370763,Baldwin's Main St. Farmers Market,N,Y,Y,Y,Y,N
47.667512,-122.3845,Ballard Farmers Market ,Y,Y,Y,Y,Y,Y
44.8039587,-68.771649,Bangor Farmers' Market,Y,Y,Y,Y,Y,N
39.753903,-74.221654,Barnegat Farmers Market,N,-,Y,Y,N,N
33.993074,-83.721123,Barrow County Farmers Market,N,Y,Y,Y,N,N
39.368957,-107.034736,Basalt Sunday Market,N,N,Y,Y,Y,Y
42.582541,-99.536625,Bassett Farmers Market,N,-,Y,N,N,N
30.111777,-97.311627,Bastrop 1832 Farmers Market,N,N,Y,Y,Y,N
39.298852,-85.221859,Batesville Farmers Market,N,-,Y,Y,N,N
42.32009,-85.18515,Battle Creek Farmers Market,Y,N,Y,Y,Y,N
29.548702,-95.150682,Bay Area Farmers Market ,N,-,Y,Y,Y,N
40.273594,-96.747301,Beatrice Farmers Market Indian Creek Mall,N,-,Y,Y,N,N
37.591129,-83.705633,Beattyville Main Street Marketplace Locally Made Market,Y,N,Y,Y,N,N
30.067686,-94.169203,Beaumont Farmers' Market,N,N,Y,Y,Y,N
40.138332,-99.827615,Beaver City Farmers Market,N,-,Y,Y,N,N
37.407199,-86.877647,Beaver Dam Farmer's Market,N,N,Y,N,Y,N
41.620058,-93.6731823,Beaverdale Farmers Market,Y,-,Y,Y,Y,N
42.938268,-71.525849,Bedford Farmers Market,N,Y,Y,Y,Y,N
40.662856,-74.646889,Bedminster Farmers Market,N,Y,Y,Y,Y,Y
39.535284,-76.351011,Bel Air Farmers' Market,Y,Y,Y,Y,Y,N
39.822988,-97.630924,Belleville Farmer's Market,N,N,Y,Y,N,N
42.201917,-83.482812,Belleville Farmers Market,N,Y,Y,N,N,N
48.75262,-122.469657,Bellingham Farmers Market,Y,Y,Y,Y,N,N
42.234077,-78.053508,Belmont Farmers Market,Y,N,Y,Y,Y,N
38.808556,-94.525252,Belton Farmers Market,N,-,Y,Y,N,N
47.469337,-94.880609,Bemidji's Natural Choice Farmers Market,Y,Y,Y,Y,Y,N
38.046215,-122.161188,Benica Certified Farmers Market,Y,Y,Y,Y,Y,N
40.680612,-96.503262,Bennet Farmers' Market,N,Y,Y,Y,Y,N
36.372637,-94.208458,Bentonville Farmers Market ,Y,N,Y,Y,N,N
39.624722,-78.227534,Berkeley Springs Farmers Market,N,Y,Y,Y,Y,N
41.715538,-83.839418,Berkey Farmers Market,N,-,Y,Y,N,N
43.269956,-70.86243,Berwick Winter Farmers Market,N,Y,Y,Y,Y,N
43.269956,-70.86243,Berwick Winter Farmers Market,N,Y,Y,N,Y,Y
33.40113,-86.95137,BESSEMER FARMERS MARKET,N,-,Y,Y,N,N
33.373082,-86.990644,Bessemer Farmers Market at Medical West,N,N,Y,Y,N,N
38.902967,-90.053468,Bethalto Market In The Park,N,-,Y,Y,Y,N
38.538397,-75.056515,"BETHANY BEACH FARMERS' MARKET, INC.",N,Y,Y,Y,N,N
38.986761,-77.09989,Bethesda Central Farm Market,Y,Y,Y,Y,Y,Y
40.6098058,-75.3784029,Bethlehem Farmers' Market,Y,N,Y,Y,Y,N
34.073685,-118.398746,Beverly Hills Farmers Market,Y,Y,Y,Y,N,Y
39.957135,-82.935745,Bexley Farmers Market,Y,Y,Y,Y,Y,N
34.260803,-116.866714,Big Bear Farmers Market,Y,N,Y,Y,Y,Y
45.333773,-93.758167,Big Lake Farmers Market,N,-,Y,Y,Y,N
45.329205,-93.747475,Big Lake Winter Farmers Market,N,-,Y,Y,Y,N
42.557646,-71.269999,Billerica Farmers Market,Y,N,Y,Y,Y,N
46.803081,-100.796471,BisMarket,N,-,Y,Y,Y,N
40.982893,-74.955689,Blairstown Farmers' Market,N,Y,Y,Y,Y,N
40.459005,-79.944435,Bloomfield Saturday Market,Y,Y,Y,Y,Y,N
39.1703084,-86.5369425,Bloomington Community Farmers' Market,Y,Y,Y,Y,Y,Y
39.149906,-86.539649,Bloomington Winter Farmers' Market,N,Y,Y,Y,Y,Y
39.251798,-84.389892,Blue Ash Farmers Market,N,-,Y,Y,N,N
38.014875,-84.418747,"Bluegrass Farmers Market, Inc",Y,-,Y,Y,Y,N
40.893082,-83.892721,Bluffton Farmers Market,N,Y,Y,Y,Y,N
40.743479,-85.172111,Bluffton Farmers' & Artisans' Market,N,-,Y,Y,N,N
39.273864,-76.601326,BMI Farmers' Market,Y,-,Y,Y,Y,N
43.532957,-116.444084,Boise Farmers Market,N,Y,Y,Y,Y,Y
43.60798,-116.19193,BOISE FARMERS MARKET,N,Y,Y,Y,Y,Y
39.022231,-84.721563,Boone County Farmers Market,Y,Y,Y,Y,Y,N
42.062726,-93.879688,Boone Farmers Market Association,Y,-,Y,Y,N,N
38.955643,-92.741591,Boonville Farmers Market Inc,N,-,Y,Y,Y,N
37.417795,-79.912646,Botetourt Farmer's Market ,N,-,Y,Y,Y,N
48.8262788,-100.4459433,Bottineau Farmers Market,N,-,Y,Y,Y,Y
46.239153,-112.117592,Boulder Farmers and Artisan's Market,N,-,Y,Y,N,N
38.97832,-76.741902,Bowie Farmers' Market,Y,-,Y,Y,Y,N
38.470783,-82.630489,Boyd County Farmers Market - King's Daughters Medical Center,Y,N,Y,Y,Y,N
38.400138,-82.712555,Boyd County Farmers Market - KYOVA Mall ,Y,N,Y,Y,Y,N
45.21685,-85.015378,Boyne City Farmers Market,Y,Y,Y,Y,Y,N
29.676944,-95.477537,Braeswood Farmers Market,N,Y,Y,Y,Y,Y
42.206437,-71.004927,Braintree Farmers Market,Y,Y,Y,Y,Y,Y
42.8499,-72.58407,Brattleboro Area Farmers' Market,Y,Y,Y,Y,Y,N
42.850844,-72.560166,Brattleboro WInter Farmers' Market,N,Y,Y,Y,Y,N
37.535327,-83.348327,Breathitt County Farmers' Market,N,-,Y,Y,N,N
47.574253,-122.628866,Bremerton Community Farmers Market,Y,Y,Y,Y,Y,N
40.588552,-74.607976,Bridgewater Farmer's Market,N,Y,Y,Y,N,Y
41.510773,-112.015057,Brigham City Farmers Market,N,-,Y,Y,Y,N
42.122751,-72.199901,Brimfield at Hitchcock Free Academy,Y,Y,Y,Y,Y,N
41.801869,-71.41892,Broad St. Farmers Market,Y,-,Y,Y,N,N
38.611375,-78.799904,Broadway Farmers Market,N,N,Y,Y,Y,N
42.082799,-71.018866,Brockton Farmers Market,N,N,Y,Y,N,N
39.97139,-82.976997,Bronzeville Growers Market,N,-,Y,Y,N,N
42.037301,-124.244963,BROOKINGS HARBOR FARMERS MARKET,Y,Y,Y,Y,Y,Y
42.34219,-71.123782,Brookline Farmers' Market,Y,Y,Y,Y,Y,N
28.654639,-82.449304,Brooksville Farmers' Market,N,-,Y,Y,Y,N
42.129759,-75.904648,Broome County Regional Farmers Market,Y,Y,Y,Y,N,N
41.826418,-71.400031,Brown University Farmers Market,Y,-,Y,Y,N,N
39.844272,-86.396445,Brownsburg Farmers Market,Y,-,Y,Y,Y,N
45.4551101,-91.2746971,Bruce Community Farmers Market,Y,N,Y,Y,Y,N
43.890786,-69.995923,Brunswick-Topsham Land Trust Farmers' Market at Crystal Spring Farm,N,-,Y,Y,Y,Y
40.021168,-75.317067,Bryn Mawr Farmers' Market,Y,Y,Y,Y,Y,Y
37.041273,-76.291807,Buckroe Beach Farmers Market,N,N,Y,Y,N,N
44.572636,-68.796497,Bucksport Bay Farmers' Market,Y,Y,Y,Y,Y,N
34.1828004,-118.3079771,Burbank Certified Farmers' Market,Y,Y,Y,Y,Y,N
38.776991,-77.263568,Burke ,N,Y,Y,Y,Y,N
44.46973,-73.215415,Burlington Farmers Market,N,Y,Y,Y,Y,N
41.967496,-71.677124,Burrillville Farmers Market,Y,-,Y,Y,N,N
31.830281,-86.617709,"Butler County Farmers Market, Greenville, AL",N,Y,Y,Y,N,N
46.01269,-112.5364,Butte Farmers Market,Y,Y,Y,Y,N,Y
29.988144,-95.26831,Buy Local Farmers Market - Fall Creek,N,Y,Y,Y,Y,Y
36.862889,-87.835998,Cadiz/Trigg County Farmers Market,Y,-,Y,Y,N,N
28.355644,-81.678425,Cagan Crossings Farmers' Market,N,-,Y,Y,N,N
38.191243,-120.667822,CalaverasGROWN Certified Farmers' Market San Andreas,Y,N,Y,Y,N,N
38.13686,-120.463811,CalaverasGROWN Murphys Certified Farmers' Market ,Y,Y,Y,Y,Y,N
44.417224,-72.016831,Caledonia Farmers Market Association - Winter,N,Y,Y,Y,Y,N
42.769605,-87.822883,Caledonia Outdoor Market,Y,-,Y,Y,N,N
37.46778,-122.13255,California Avenue Farmers' Market,Y,Y,Y,Y,Y,N
38.294524,-76.499596,California Farmers Market,Y,Y,Y,Y,Y,N
34.216518,-119.041574,Camarillo Hospice Certified Farmers Market,Y,Y,Y,Y,Y,N
35.564323,-121.096629,Cambria Farmers Market,Y,Y,Y,Y,Y,Y
37.296867,-121.819306,Cambrian Park Farmers' Market,Y,Y,Y,Y,Y,N
30.275994,-89.780754,Camellia City Farmers Market,N,Y,Y,Y,Y,Y
38.97801,-84.392139,Campbell County Farmers Market Association,Y,-,Y,Y,N,N
39.028829,-84.451866,Campbell County Farmers Market Association,Y,-,Y,Y,N,Y
39.090164,-84.491761,Campbell County Farmers Market Association,Y,-,Y,Y,N,N
37.280232,-121.954352,Campbell Farmers' Market,Y,Y,Y,Y,Y,N
42.256235,-71.797436,Canal District Farmers Market ,N,Y,Y,Y,Y,N
40.056586,-82.401032,Canal Market District,Y,Y,Y,Y,N,N
43.220102,-78.388368,Canal Village Farmers' Market,Y,N,Y,Y,Y,N
34.203746,-118.601612,Canoga Park Certified Farmers Market,Y,Y,Y,Y,Y,Y
42.308841,-83.533591,Canton Farmers Market,Y,Y,Y,Y,Y,Y
40.80065,-81.374888,Canton Farmers' Market,Y,-,Y,Y,Y,N
26.564457,-81.954459,Cape Coral Farmers Market,N,Y,Y,Y,Y,N
37.302699,-89.519874,Cape Riverfront Market,N,-,Y,Y,Y,N
39.1576541,-75.5262294,Capital City Farmers Market,Y,-,Y,Y,N,N
38.894748,-77.030256,Capital Harvest on the Plaza,N,N,Y,Y,N,Y
36.9872756,-121.9270394,Carmel Farmers Markets at the Barnyard Shopping Village,Y,Y,Y,Y,N,N
47.648587,-121.912419,Carnation Farmers Market,Y,Y,Y,Y,Y,N
34.641892,-82.4614,Carolina fresh market and more,N,-,Y,Y,N,N
35.910781,-79.077607,Carrboro Farmers' Market,Y,Y,Y,Y,Y,Y
39.358097,-93.496941,Carrollton Farmers Market,N,Y,Y,Y,N,N
39.162841,-119.768164,Carson Farmers Market @3rd & Curry St. ,Y,Y,Y,Y,Y,N
38.331557,-82.904359,Carter County Farmers’ Market - Grayson,Y,N,Y,Y,N,N
38.29761,-83.180887,Carter County Farmers’ Market - Olive Hill,Y,N,Y,Y,N,N
41.888852,-70.769182,Carver Farmers Market,N,N,Y,Y,Y,N
35.712066,-81.269507,Catawba County Public Health Farmers Market,Y,-,Y,Y,N,N
37.3835006,-80.1068482,Catawba Valley Farmers Market,N,N,Y,Y,Y,N
34.1069,-85.33656,CAVE SPRING FARMERS MARKET,Y,N,Y,Y,N,N
45.5263877,-122.8141034,Cedar Mill Farmers Market,Y,N,Y,Y,Y,N
34.68261,-77.083526,Cedar Point Farmers Market,N,Y,Y,Y,Y,Y
40.549633,-84.582827,Celina Farmers Market,N,-,Y,Y,Y,N
33.3247511,-96.7869845,Celina's Friday Night Market,N,-,Y,Y,Y,N
34.005326,-118.256796,Central Avenue Farmers' Market,Y,Y,Y,Y,N,N
41.885605,-71.39565,Central Falls Farmers Market,Y,-,Y,Y,N,N
47.650238,-122.680109,Central Kitsap Farmers Market,Y,-,Y,Y,Y,N
33.817078,-116.525258,Certified Farmers' Market Palm Springs - Indoor,Y,N,Y,Y,Y,N
33.820251,-116.521181,Certified Farmers' Market Palm Springs - Outdoor,Y,-,Y,Y,Y,N
36.874654,-119.776881,CFFMA - Ft Washington Farmers Market - Sunday,Y,Y,Y,Y,N,N
36.849327,-119.789099,CFFMA - River Park Farmers Market - Saturday,Y,Y,Y,Y,N,N
36.849308,-119.789095,CFFMA - River Park Farmers Market - Tuesday,Y,Y,Y,Y,N,N
44.505154,-114.227231,Challis Community Farmers Market,N,N,Y,Y,N,Y
44.661841,-73.323048,Champlain Islands Farmers' Market - Wednesday,N,Y,Y,Y,Y,N
39.289073,-77.858454,Charles Town Farmers Market,Y,-,Y,Y,Y,N
35.2970353,-94.0363153,Charleston Farmers Market,N,N,Y,Y,N,N
41.384847,-71.630764,Charlestown Land Trust Farmers' Market,N,-,Y,Y,N,N
41.676615,-69.962249,Chatham Farmer's Market,Y,Y,Y,Y,Y,N
41.775832,-96.222387,Chatter Box Farmers Market in Tekamah,N,-,Y,Y,N,N
43.98878,-72.44747,Chelsea Farmers' Market,N,-,Y,Y,Y,N
37.376728,-77.504419,Chesterfield County Farmers Market,N,-,Y,Y,N,N
40.06776,-75.196931,Chestnut Hill Farmers' Market,Y,Y,Y,Y,Y,N
39.730823,-121.838323,Chico Certified Farmers Market - Chico Saturday,Y,Y,Y,Y,Y,Y
39.758425,-121.848452,Chico Certified Farmers Market - Chico Wednesday,Y,Y,Y,Y,Y,Y
39.77368,-121.595446,Chico Certified Farmers Market - Paradise Tuesday,Y,Y,Y,Y,N,N
36.80295,-81.676633,Chilhowie Farmer's Market,N,Y,Y,Y,Y,N
35.570981,-80.5778246,China Grove Farmers Market,N,-,Y,Y,Y,N
44.934888,-91.389337,Chippewa Falls Farmers Market,Y,-,Y,Y,Y,N
33.749649,-84.750061,Church St Farmers Market,N,-,Y,Y,N,N
37.077437,-78.008079,Church Street Farmers' Market,N,Y,Y,Y,N,N
34.198789,-79.773582,City Center Farmers Market,N,Y,Y,Y,Y,Y
21.305408,-157.852699,City Hall Parking Lot Deck (People's Open Market),N,N,Y,Y,N,N
32.747817,-117.101527,City Heights Certified Farmers Market,Y,N,Y,Y,N,N
32.584813,-85.475592,City Market,N,Y,Y,Y,Y,Y
40.387479,-105.078652,City of Loveland Farmers Market,N,Y,Y,Y,Y,Y
42.700694,-73.112792,City of North Adams Farmers' Market,N,-,Y,Y,Y,N
40.400201,-79.988803,City of Pittsburgh Carrick Farmers Market,Y,-,Y,Y,N,N
44.997274,-93.473419,City of Plymouth Farmers Market,N,-,Y,Y,N,N
41.369164,-81.684217,City of Seven Hills Farmers Market,N,Y,Y,Y,N,N
42.6958071,-82.932268,City of St. Clair Shores Farmers Market,Y,-,Y,Y,N,N
45.084125,-93.009953,City of White Bear Lake Farmer's Market,N,Y,Y,Y,Y,Y
41.325348,-72.958562,CitySeed Edgewood Park Farmers Market,Y,Y,Y,Y,Y,N
41.308956,-72.888848,CitySeed Fair Haven Farmers Market,Y,Y,Y,Y,N,N
41.3011808,-72.9188338,CitySeed Winter Market,Y,Y,Y,Y,Y,N
41.303232,-72.917848,CitySeed Wooster Square Farmers Market,Y,Y,Y,Y,Y,N
34.095598,-117.716418,Claremont Farmers & Artisans Market,Y,Y,Y,Y,Y,Y
43.375823,-72.339305,Claremont Farmers' Market,N,-,Y,Y,Y,N
42.98032,-78.58945,Clarence Hollow Farmers' Market,N,N,Y,Y,Y,N
46.410563,-117.039927,Clarkston Farmers Market,Y,-,Y,Y,N,Y
39.376936,-97.126471,Clay Center Farmers Market,N,-,Y,Y,Y,N
32.339893,-97.407713,Cleburne Farmers Market,N,N,Y,Y,Y,N
36.033223,-80.386699,Clemmons Farmers Market,N,-,Y,Y,Y,N
38.934817,-77.058379,Cleveland Park Farmers Market,N,-,Y,Y,N,N
42.869606,-73.809271,Clifton Park Farmers' Market,Y,N,Y,Y,Y,N
43.048866,-75.378462,Clinton Farmers Market,N,Y,Y,Y,Y,N
40.034269,-83.016501,Clintonville Farmers' Market,Y,Y,Y,Y,Y,Y
31.7078144,-85.619065,Clio Market,N,Y,Y,N,N,N
39.316055,-76.764414,CMS Farmers Market,N,-,Y,Y,N,N
41.422523,-75.662496,Co-Operative Farmers Market,Y,-,Y,Y,N,N
41.572691,-71.485463,Coastal Growers Farmers Market,Y,Y,Y,Y,Y,N
41.512,-71.423632,Coastal Growers Market,Y,Y,Y,Y,Y,Y
37.46677,-122.437378,Coastside Farmers' Market - Half Moon Bay ,Y,Y,Y,Y,Y,Y
37.609415,-122.495081,"Coastside Farmers' Market - Rockaway Beach, Pacifica",Y,Y,Y,Y,Y,Y
46.041708,-118.377845,College Place Farmers & Artisan Market,Y,Y,Y,Y,N,N
41.810819,-72.923264,Collinsville Farmers Market,Y,Y,Y,Y,Y,N
38.937716,-104.814688,Colorado Farm and Art Market,N,N,Y,Y,Y,N
38.830543,-104.822309,Colorado Farm and Art Market,N,Y,Y,Y,Y,N
35.6187845,-87.0304808,Columbia Farmers Fresh Market ,Y,N,Y,Y,Y,N
38.958293,-92.364624,Columbia Farmers Market,N,Y,Y,Y,Y,N
38.029395,-120.410011,Columbia Farmory and Mountain People Organics,N,Y,Y,Y,Y,Y
41.430012,-97.36036,Columbus Farmers Market,Y,-,Y,Y,Y,N
37.171861,-94.831459,Columbus KS Farmers Market,N,Y,Y,Y,Y,N
39.214999,-122.014038,Colusa Certified Farmers Market,Y,N,Y,Y,Y,N
33.5491175,-96.9110998,Colwell's Farmers Market,N,N,Y,Y,N,N
34.513561,-89.939947,Como Farmer's Market,N,-,Y,N,N,N
41.766118,-72.672892,Connecticut's Old State House Farmers Market,N,-,Y,Y,Y,N
33.833331,-79.044831,Conway Farmers Market,Y,-,Y,Y,Y,N
35.077695,-92.41257,Conway Farmers' Market,Y,N,Y,Y,Y,N
43.367982,-124.215299,Coos Bay Farmers Market,Y,Y,Y,Y,Y,N
41.678726,-91.584155,Coralville Farmers' Market,Y,-,Y,Y,Y,N
27.791601,-97.392206,Corpus Christi Downtown Farmers' Market,N,N,Y,Y,Y,N
37.348444,-108.587634,Cortez Farmers Market,N,-,Y,Y,Y,N
38.326544,-122.707298,Cotati Community Farmers Market ,Y,Y,Y,Y,Y,N
31.64705,-85.674054,Cottage House Youth Market,N,Y,Y,Y,N,N
38.950747,-95.235146,Cottin's Hardware Farmers Market,Y,Y,Y,Y,Y,Y
33.571347,-85.07274,Cotton Mill Farmers Market,N,Y,Y,Y,Y,N
45.443768,-91.828516,Country Lane Farmers Market,N,Y,Y,Y,Y,Y
41.098698,-81.553272,Countryside Farmers' Market at Highland Square,Y,N,Y,Y,Y,N
41.189312,-81.583614,Countryside Farmers' Market at Howe Meadow,Y,Y,Y,Y,Y,Y
41.08885,-81.515871,Countryside Public Market,Y,N,Y,Y,Y,N
41.192676,-81.589922,Countryside Winter Farmers' Market,N,Y,Y,Y,Y,Y
41.764283,-72.345186,Coventry Farmers' Market (formerly Coventry Regional Farmers' Market),Y,Y,Y,Y,Y,N
39.088659,-84.508855,Covington Farmers Market,N,N,Y,Y,Y,N
32.716447,-97.442048,Cowtown Farmers Market,N,N,Y,Y,Y,N
40.8606228,-99.9901154,Cozad Grand Generation Center,N,Y,Y,Y,N,N
44.5205554,-109.58853,Craft Market,N,Y,N,Y,N,N
41.784704,-71.452664,Cranston Farmers Market ,Y,-,Y,Y,N,N
40.040652,-86.903732,Crawfordsville Farmers Market,N,-,Y,Y,Y,N
40.04604,-86.896007,Crawfordsville Winter Market,N,-,Y,Y,Y,N
34.008706,-118.335422,Crenshaw Farmers' Market,Y,Y,Y,Y,N,N
29.932171,-90.133127,Crescent City Farmers Market,Y,Y,Y,Y,Y,Y
29.960279,-90.058904,Crescent City Farmers Market,Y,Y,Y,Y,N,N
29.932159,-90.133127,Crescent City Farmers Market,Y,Y,Y,Y,Y,Y
41.345408,-83.1135499,Croghan Colonial Bank Farmers Market,Y,-,Y,Y,Y,N
35.223532,-90.786483,Cross County Farmer's Market,N,N,Y,N,N,N
38.990479,-76.990169,Crossroads Farmers Market,Y,Y,Y,Y,Y,Y
42.243752,-88.31701,Crystal Lake Farmers Market,Y,-,Y,Y,Y,Y
34.024936,-118.39464,Culver City Farmers Market,Y,Y,Y,Y,N,Y
41.218494,-86.419302,Culver Farmers' Market,Y,Y,Y,Y,Y,N
41.216815,-86.422907,Culver Farmers' Market,Y,Y,Y,Y,Y,N
36.790074,-85.364614,Cumberland County Farmers' Market,Y,N,Y,Y,N,N
39.77586,-85.961539,Cumberland Farmers Market,Y,N,Y,Y,Y,N
41.130404,-81.48356,Cuyahoga Falls Farmers' Market (Farmers' Market in the Falls),N,-,Y,Y,N,Y
33.812858,-92.41424,Dallas County Farmer's Market,N,N,Y,N,N,N
41.397912,-73.450227,Danbury Farmers' Market,Y,-,Y,Y,N,N
35.220839,-93.153099,Dardanelle Farmers Market,Y,Y,Y,Y,Y,Y
42.677666,-90.117445,Darlington Farmers Market,Y,N,Y,N,N,N
41.562863,-90.571154,Davenport Farmers' Market,Y,-,Y,Y,N,N
41.264759,-97.129955,David City Farmers Market,Y,-,Y,Y,N,N
44.9259444,-96.0574386,Dawson Farmers Market,N,N,Y,Y,N,N
40.547045,-112.002561,Daybreak Farmers Market,N,-,Y,Y,Y,N
38.143961,-90.552184,De Soto Farmers' Market,N,N,Y,Y,Y,N
42.313057,-83.211488,Dearborn Farmers & Artisans Market,N,Y,Y,Y,N,Y
33.778773,-84.296808,Decatur Farmers Market ,N,-,Y,Y,Y,N
43.246672,-89.339846,DeForest Farmers' Market,N,Y,Y,Y,Y,N
41.931127,-88.752032,DeKalb Farmers' Market,N,-,Y,Y,N,Y
36.9872756,-121.9270394,Del Monte Farmers Markets at Del Monte Shopping Center,Y,Y,Y,Y,N,N
37.683757,-97.360349,Delano Neighborhood Market,N,Y,Y,Y,Y,N
29.941659,-91.982453,Delcambre Seafood & Farmers Market,N,-,Y,Y,Y,N
42.619919,-73.825895,Delmar Farmers Market,N,Y,Y,Y,Y,Y
26.462365,-80.071595,Delray GreenMarket,N,-,Y,Y,Y,N
47.401657,-122.329307,Des Moines Waterfront Farmers Market,Y,Y,Y,Y,Y,Y
42.339503,-83.889459,Dexter Farmers Market,N,-,Y,Y,N,N
39.927056,-75.151276,Dickinson Square Farmers' Market,Y,N,Y,Y,Y,N
