,MarketName,x,y,WIC,Organic,Vegetables,Meat,Fruits,Grains
49,Albany IN Farmers Market,-85.235831,40.299191,Y,N,Y,Y,Y,N
51,Alexandria Bay Farmers Market,-75.91611800000001,44.331171000000005,Y,-,Y,N,Y,N
53,Alexandria Farmers Market,-95.375902,45.890762,N,Y,Y,Y,Y,N
55,Allen County Farmers' Market,-95.400669,37.927427,N,-,Y,Y,N,N
57,Allen County Farmers' Market,-95.400669,37.927427,N,N,Y,Y,N,N
59,Aloha Community Farmers' Market,-122.858722,45.480164,Y,-,Y,N,Y,N
61,Alturas Farmers Market,-120.542201,41.483907,Y,N,Y,Y,Y,N
63,Ambler Farmers' Market,-75.225298,40.153501,Y,Y,Y,Y,Y,N
65,Ames Main Street Farmers' Market,-93.61494300000001,42.025222,Y,Y,Y,Y,Y,N
67,Amicalola Regional Farmers Market,-84.09904300000001,34.437795,N,-,Y,Y,Y,N
69,Amqui Station Farmers Market,-86.71749100000001,36.257791999999995,N,-,Y,Y,Y,N
71,Anaconda Community Market,-113.13910800000001,46.099059000000004,N,N,Y,Y,Y,N
73,Anacortes Farmers Market,-122.609181,48.516974,Y,Y,Y,Y,Y,Y
75,Anderson County Farmers Market,-82.652197,34.506898,Y,-,Y,Y,Y,N
77,Anderson County Farmers Market ,-84.917629,38.076446999999995,N,-,Y,Y,Y,N
79,Andersonville Farmers Market,-87.668602,41.981745000000004,Y,Y,Y,Y,Y,Y
81,Andover Farmers Market,-71.14313800000001,42.653616,Y,Y,Y,N,Y,N
83,Annandale Farmers Market ,-77.196229,38.832801,N,N,Y,Y,Y,N
85,Annandale Farmers Market - ACT,-94.12383220000001,45.2636097,N,Y,Y,N,Y,Y
87,"Antigo Farmers Market, Inc.",-89.14985,45.138703,Y,N,Y,Y,Y,N
89,Antioch's Farmers Market,-88.09456999999999,42.478128000000005,N,-,N,N,Y,Y
91,Appleton Downtown Farm Market,-88.40703,44.26201,Y,Y,Y,Y,Y,Y
93,Aquidneck Growers Market - Wednesday,-71.30583100000001,41.483658,N,Y,Y,Y,Y,N
95,Aquidneck Growers Market- Saturday Summer,-71.304641,41.509139000000005,N,Y,Y,Y,Y,N
97,Aquidneck Growers' Markets,-71.26137800000001,41.546506,Y,Y,Y,Y,Y,N
99,Arlington Village Farmers Market,-73.146078,43.072884,N,N,Y,Y,Y,N
101,Armory Farmers Market,-71.4316,41.814766999999996,Y,-,Y,N,Y,N
103,Arnold Farmers Market,-90.353093,38.453275,N,Y,Y,Y,Y,N
105,Artisan Alley Farmers and Makers Market,-81.30434100000001,29.027562,N,N,Y,Y,Y,Y
107,Artistlane Farmers Market,-82.073422,33.365531,N,-,Y,N,Y,Y
109,Ashland Farmers Market,-71.461538,42.260027,Y,Y,Y,Y,Y,N
111,ASU Regional Farmers' Market,-90.667327,35.840771000000004,Y,N,Y,Y,Y,N
113,Atchison Farmers Market,-95.119878,39.560736999999996,N,N,Y,Y,Y,Y
115,Athens Farmers Market,-82.05662199999999,39.336038,Y,Y,Y,Y,Y,Y
117,"Athens Farmers Market, L.L.C.",-83.380247,33.959088,N,Y,Y,Y,Y,N
119,"Athens Farmers Market, LLC",-83.4121317,33.9644564,N,Y,Y,Y,Y,Y
121,Athol Farmers Market,-116.707904,47.944594,N,N,Y,Y,Y,N
123,"Attleboro Farmers Market, inc",-71.299235,41.937562,N,Y,Y,Y,Y,N
125,Atwater Village Farmers' Market,-118.26015100000001,34.117828,Y,Y,Y,N,Y,Y
127,Auburn Farmers Market,-122.21845900000001,47.298266999999996,Y,Y,Y,Y,Y,Y
129,Aurora Farmers Market,-76.699995,42.744684,N,-,Y,N,Y,N
131,Aurora Local Farmer's Market - Summer Market,-93.72018670000001,36.948908,N,N,Y,N,Y,N
133,Avon Farmers Market,-86.38263,39.765279,Y,-,N,Y,N,N
135,Avon Library Farmers Market,-72.860448,41.78971,Y,Y,Y,N,Y,N
137,Bainbridge Farm Market,-86.817696,39.762232899999994,Y,Y,Y,Y,Y,N
139,Baldwin's Main St. Farmers Market,-92.370763,44.966999,N,Y,Y,Y,Y,N
141,Ballard Farmers Market ,-122.3845,47.667512,Y,Y,Y,Y,Y,Y
143,Bangor Farmers' Market,-68.771649,44.8039587,Y,Y,Y,Y,Y,N
145,Barnegat Farmers Market,-74.221654,39.753903,N,-,Y,N,Y,N
147,Barrow County Farmers Market,-83.72112299999999,33.993074,N,Y,Y,N,Y,N
149,Basalt Sunday Market,-107.03473600000001,39.368957,N,N,Y,Y,Y,Y
151,Bassett Farmers Market,-99.536625,42.582541,N,-,Y,N,N,N
153,Bastrop 1832 Farmers Market,-97.311627,30.111777000000004,N,N,Y,Y,Y,N
155,Batesville Farmers Market,-85.221859,39.298852000000004,N,-,Y,N,Y,N
157,Battle Creek Farmers Market,-85.18515,42.32009,Y,N,Y,Y,Y,N
159,Bay Area Farmers Market ,-95.15068199999999,29.548702000000002,N,-,Y,Y,Y,N
161,Beatrice Farmers Market Indian Creek Mall,-96.74730100000001,40.273594,N,-,Y,N,Y,N
163,Beattyville Main Street Marketplace Locally Made Market,-83.70563299999999,37.591128999999995,Y,N,Y,N,Y,N
165,Beaumont Farmers' Market,-94.169203,30.067686,N,N,Y,Y,Y,N
167,Beaver City Farmers Market,-99.82761500000001,40.138332,N,-,Y,N,Y,N
169,Beaver Dam Farmer's Market,-86.877647,37.407199,N,N,Y,Y,N,N
171,Beaverdale Farmers Market,-93.6731823,41.620058,Y,-,Y,Y,Y,N
173,Bedford Farmers Market,-71.525849,42.938268,N,Y,Y,Y,Y,N
175,Bedminster Farmers Market,-74.646889,40.662856,N,Y,Y,Y,Y,Y
177,Bel Air Farmers' Market,-76.351011,39.535284000000004,Y,Y,Y,Y,Y,N
179,Belleville Farmer's Market,-97.630924,39.822988,N,N,Y,N,Y,N
181,Belleville Farmers Market,-83.482812,42.201917,N,Y,Y,N,N,N
183,Bellingham Farmers Market,-122.46965700000001,48.75262,Y,Y,Y,N,Y,N
185,Belmont Farmers Market,-78.053508,42.234077,Y,N,Y,Y,Y,N
187,Belton Farmers Market,-94.52525200000001,38.808556,N,-,Y,N,Y,N
189,Bemidji's Natural Choice Farmers Market,-94.88060899999999,47.469337,Y,Y,Y,Y,Y,N
191,Benica Certified Farmers Market,-122.161188,38.046215000000004,Y,Y,Y,Y,Y,N
193,Bennet Farmers' Market,-96.503262,40.680611999999996,N,Y,Y,Y,Y,N
195,Bentonville Farmers Market ,-94.208458,36.372637,Y,N,Y,N,Y,N
197,Berkeley Springs Farmers Market,-78.22753399999999,39.624722,N,Y,Y,Y,Y,N
199,Berkey Farmers Market,-83.83941800000001,41.715538,N,-,Y,N,Y,N
201,Berwick Winter Farmers Market,-70.86243,43.269956,N,Y,Y,Y,Y,N
203,Berwick Winter Farmers Market,-70.86243,43.269956,N,Y,Y,Y,N,Y
205,BESSEMER FARMERS MARKET,-86.95137,33.40113,N,-,Y,N,Y,N
207,Bessemer Farmers Market at Medical West,-86.99064399999999,33.373082000000004,N,N,Y,N,Y,N
209,Bethalto Market In The Park,-90.05346800000001,38.902967,N,-,Y,Y,Y,N
211,"BETHANY BEACH FARMERS' MARKET, INC.",-75.056515,38.538396999999996,N,Y,Y,N,Y,N
213,Bethesda Central Farm Market,-77.09989,38.986761,Y,Y,Y,Y,Y,Y
215,Bethlehem Farmers' Market,-75.37840290000001,40.6098058,Y,N,Y,Y,Y,N
217,Beverly Hills Farmers Market,-118.398746,34.073685,Y,Y,Y,N,Y,Y
219,Bexley Farmers Market,-82.935745,39.957135,Y,Y,Y,Y,Y,N
221,Big Bear Farmers Market,-116.86671399999999,34.260803,Y,N,Y,Y,Y,Y
223,Big Lake Farmers Market,-93.758167,45.333773,N,-,Y,Y,Y,N
225,Big Lake Winter Farmers Market,-93.747475,45.329205,N,-,Y,Y,Y,N
227,Billerica Farmers Market,-71.269999,42.557646000000005,Y,N,Y,Y,Y,N
229,BisMarket,-100.796471,46.803081,N,-,Y,Y,Y,N
231,Blairstown Farmers' Market,-74.955689,40.982893,N,Y,Y,Y,Y,N
233,Bloomfield Saturday Market,-79.944435,40.459005,Y,Y,Y,Y,Y,N
235,Bloomington Community Farmers' Market,-86.53694250000001,39.170308399999996,Y,Y,Y,Y,Y,Y
237,Bloomington Winter Farmers' Market,-86.539649,39.149906,N,Y,Y,Y,Y,Y
239,Blue Ash Farmers Market,-84.389892,39.251798,N,-,Y,N,Y,N
241,"Bluegrass Farmers Market, Inc",-84.418747,38.014875,Y,-,Y,Y,Y,N
243,Bluffton Farmers Market,-83.892721,40.893082,N,Y,Y,Y,Y,N
245,Bluffton Farmers' & Artisans' Market,-85.172111,40.743479,N,-,Y,N,Y,N
247,BMI Farmers' Market,-76.601326,39.273864,Y,-,Y,Y,Y,N
249,Boise Farmers Market,-116.444084,43.532957,N,Y,Y,Y,Y,Y
251,BOISE FARMERS MARKET,-116.19193,43.60798,N,Y,Y,Y,Y,Y
253,Boone County Farmers Market,-84.721563,39.022231,Y,Y,Y,Y,Y,N
255,Boone Farmers Market Association,-93.879688,42.062726,Y,-,Y,N,Y,N
257,Boonville Farmers Market Inc,-92.741591,38.955643,N,-,Y,Y,Y,N
259,Botetourt Farmer's Market ,-79.912646,37.417795,N,-,Y,Y,Y,N
261,Bottineau Farmers Market,-100.4459433,48.8262788,N,-,Y,Y,Y,Y
263,Boulder Farmers and Artisan's Market,-112.11759199999999,46.239153,N,-,Y,N,Y,N
265,Bowie Farmers' Market,-76.741902,38.978320000000004,Y,-,Y,Y,Y,N
267,Boyd County Farmers Market - King's Daughters Medical Center,-82.630489,38.470783000000004,Y,N,Y,Y,Y,N
269,Boyd County Farmers Market - KYOVA Mall ,-82.71255500000001,38.400138,Y,N,Y,Y,Y,N
271,Boyne City Farmers Market,-85.015378,45.21685,Y,Y,Y,Y,Y,N
273,Braeswood Farmers Market,-95.477537,29.676944,N,Y,Y,Y,Y,Y
275,Braintree Farmers Market,-71.004927,42.206437,Y,Y,Y,Y,Y,Y
277,Brattleboro Area Farmers' Market,-72.58407,42.8499,Y,Y,Y,Y,Y,N
279,Brattleboro WInter Farmers' Market,-72.56016600000001,42.850844,N,Y,Y,Y,Y,N
281,Breathitt County Farmers' Market,-83.348327,37.535327,N,-,Y,N,Y,N
283,Bremerton Community Farmers Market,-122.62886599999999,47.574253000000006,Y,Y,Y,Y,Y,N
285,Bridgewater Farmer's Market,-74.60797600000001,40.588552,N,Y,Y,N,Y,Y
287,Brigham City Farmers Market,-112.01505700000001,41.510773,N,-,Y,Y,Y,N
289,Brimfield at Hitchcock Free Academy,-72.199901,42.122751,Y,Y,Y,Y,Y,N
291,Broad St. Farmers Market,-71.41892,41.801869,Y,-,Y,N,Y,N
293,Broadway Farmers Market,-78.799904,38.611375,N,N,Y,Y,Y,N
295,Brockton Farmers Market,-71.018866,42.082799,N,N,Y,N,Y,N
297,Bronzeville Growers Market,-82.976997,39.97139,N,-,Y,N,Y,N
299,BROOKINGS HARBOR FARMERS MARKET,-124.24496299999998,42.037301,Y,Y,Y,Y,Y,Y
301,Brookline Farmers' Market,-71.12378199999999,42.34219,Y,Y,Y,Y,Y,N
303,Brooksville Farmers' Market,-82.449304,28.654639000000003,N,-,Y,Y,Y,N
305,Broome County Regional Farmers Market,-75.904648,42.129759,Y,Y,Y,N,Y,N
307,Brown University Farmers Market,-71.40003100000001,41.826418,Y,-,Y,N,Y,N
309,Brownsburg Farmers Market,-86.396445,39.844272,Y,-,Y,Y,Y,N
311,Bruce Community Farmers Market,-91.2746971,45.455110100000006,Y,N,Y,Y,Y,N
313,Brunswick-Topsham Land Trust Farmers' Market at Crystal Spring Farm,-69.995923,43.890786,N,-,Y,Y,Y,Y
315,Bryn Mawr Farmers' Market,-75.31706700000001,40.021167999999996,Y,Y,Y,Y,Y,Y
317,Buckroe Beach Farmers Market,-76.29180699999999,37.041273,N,N,Y,N,Y,N
319,Bucksport Bay Farmers' Market,-68.796497,44.572635999999996,Y,Y,Y,Y,Y,N
321,Burbank Certified Farmers' Market,-118.30797709999999,34.1828004,Y,Y,Y,Y,Y,N
323,Burke ,-77.263568,38.776990999999995,N,Y,Y,Y,Y,N
325,Burlington Farmers Market,-73.21541500000001,44.46973,N,Y,Y,Y,Y,N
327,Burrillville Farmers Market,-71.67712399999999,41.967496000000004,Y,-,Y,N,Y,N
329,"Butler County Farmers Market, Greenville, AL",-86.61770899999999,31.830281,N,Y,Y,N,Y,N
331,Butte Farmers Market,-112.5364,46.01269,Y,Y,Y,N,Y,Y
333,Buy Local Farmers Market - Fall Creek,-95.26831,29.988144000000002,N,Y,Y,Y,Y,Y
335,Cadiz/Trigg County Farmers Market,-87.835998,36.862889,Y,-,Y,N,Y,N
337,Cagan Crossings Farmers' Market,-81.678425,28.355644,N,-,Y,N,Y,N
339,CalaverasGROWN Certified Farmers' Market San Andreas,-120.667822,38.191243,Y,N,Y,N,Y,N
341,CalaverasGROWN Murphys Certified Farmers' Market ,-120.463811,38.13686,Y,Y,Y,Y,Y,N
343,Caledonia Farmers Market Association - Winter,-72.01683100000001,44.417224,N,Y,Y,Y,Y,N
345,Caledonia Outdoor Market,-87.82288299999999,42.769605,Y,-,Y,N,Y,N
347,California Avenue Farmers' Market,-122.13255,37.46778,Y,Y,Y,Y,Y,N
349,California Farmers Market,-76.499596,38.294523999999996,Y,Y,Y,Y,Y,N
351,Camarillo Hospice Certified Farmers Market,-119.041574,34.216518,Y,Y,Y,Y,Y,N
353,Cambria Farmers Market,-121.09662900000001,35.564323,Y,Y,Y,Y,Y,Y
355,Cambrian Park Farmers' Market,-121.81930600000001,37.296867,Y,Y,Y,Y,Y,N
357,Camellia City Farmers Market,-89.780754,30.275994,N,Y,Y,Y,Y,Y
359,Campbell County Farmers Market Association,-84.392139,38.97801,Y,-,Y,N,Y,N
361,Campbell County Farmers Market Association,-84.45186600000001,39.028828999999995,Y,-,Y,N,Y,Y
363,Campbell County Farmers Market Association,-84.491761,39.090164,Y,-,Y,N,Y,N
365,Campbell Farmers' Market,-121.954352,37.280232,Y,Y,Y,Y,Y,N
367,Canal District Farmers Market ,-71.797436,42.256235,N,Y,Y,Y,Y,N
369,Canal Market District,-82.401032,40.056585999999996,Y,Y,Y,N,Y,N
371,Canal Village Farmers' Market,-78.388368,43.220102000000004,Y,N,Y,Y,Y,N
373,Canoga Park Certified Farmers Market,-118.60161200000002,34.203746,Y,Y,Y,Y,Y,Y
375,Canton Farmers Market,-83.533591,42.308840999999994,Y,Y,Y,Y,Y,Y
377,Canton Farmers' Market,-81.374888,40.80065,Y,-,Y,Y,Y,N
379,Cape Coral Farmers Market,-81.954459,26.564457,N,Y,Y,Y,Y,N
381,Cape Riverfront Market,-89.519874,37.302699,N,-,Y,Y,Y,N
383,Capital City Farmers Market,-75.5262294,39.1576541,Y,-,Y,N,Y,N
385,Capital Harvest on the Plaza,-77.03025600000001,38.894748,N,N,Y,N,Y,Y
387,Carmel Farmers Markets at the Barnyard Shopping Village,-121.92703940000001,36.9872756,Y,Y,Y,N,Y,N
389,Carnation Farmers Market,-121.912419,47.648587,Y,Y,Y,Y,Y,N
391,Carolina fresh market and more,-82.4614,34.641892,N,-,Y,N,Y,N
393,Carrboro Farmers' Market,-79.077607,35.910781,Y,Y,Y,Y,Y,Y
395,Carrollton Farmers Market,-93.496941,39.358096999999994,N,Y,Y,N,Y,N
397,Carson Farmers Market @3rd & Curry St. ,-119.76816399999998,39.162841,Y,Y,Y,Y,Y,N
399,Carter County Farmers’ Market - Grayson,-82.904359,38.331557000000004,Y,N,Y,N,Y,N
401,Carter County Farmers’ Market - Olive Hill,-83.180887,38.29761,Y,N,Y,N,Y,N
403,Carver Farmers Market,-70.769182,41.888852,N,N,Y,Y,Y,N
405,Catawba County Public Health Farmers Market,-81.26950699999999,35.712066,Y,-,Y,N,Y,N
407,Catawba Valley Farmers Market,-80.1068482,37.3835006,N,N,Y,Y,Y,N
409,CAVE SPRING FARMERS MARKET,-85.33655999999999,34.1069,Y,N,Y,N,Y,N
411,Cedar Mill Farmers Market,-122.8141034,45.5263877,Y,N,Y,Y,Y,N
413,Cedar Point Farmers Market,-77.083526,34.68261,N,Y,Y,Y,Y,Y
415,Celina Farmers Market,-84.58282700000001,40.549633,N,-,Y,Y,Y,N
417,Celina's Friday Night Market,-96.7869845,33.3247511,N,-,Y,Y,Y,N
419,Central Avenue Farmers' Market,-118.256796,34.005326000000004,Y,Y,Y,N,Y,N
421,Central Falls Farmers Market,-71.39565,41.885605,Y,-,Y,N,Y,N
423,Central Kitsap Farmers Market,-122.680109,47.650238,Y,-,Y,Y,Y,N
425,Certified Farmers' Market Palm Springs - Indoor,-116.52525800000001,33.817078,Y,N,Y,Y,Y,N
427,Certified Farmers' Market Palm Springs - Outdoor,-116.521181,33.820251,Y,-,Y,Y,Y,N
429,CFFMA - Ft Washington Farmers Market - Sunday,-119.776881,36.874654,Y,Y,Y,N,Y,N
431,CFFMA - River Park Farmers Market - Saturday,-119.789099,36.849327,Y,Y,Y,N,Y,N
433,CFFMA - River Park Farmers Market - Tuesday,-119.78909499999999,36.849308,Y,Y,Y,N,Y,N
435,Challis Community Farmers Market,-114.227231,44.505154,N,N,Y,N,Y,Y
437,Champlain Islands Farmers' Market - Wednesday,-73.323048,44.661840999999995,N,Y,Y,Y,Y,N
439,Charles Town Farmers Market,-77.85845400000001,39.289072999999995,Y,-,Y,Y,Y,N
441,Charleston Farmers Market,-94.0363153,35.2970353,N,N,Y,N,Y,N
443,Charlestown Land Trust Farmers' Market,-71.630764,41.384847,N,-,Y,N,Y,N
447,Chatham Farmer's Market,-69.962249,41.676615000000005,Y,Y,Y,Y,Y,N
449,Chatter Box Farmers Market in Tekamah,-96.222387,41.775832,N,-,Y,N,Y,N
451,Chelsea Farmers' Market,-72.44747,43.98878,N,-,Y,Y,Y,N
453,Chesterfield County Farmers Market,-77.504419,37.376728,N,-,Y,N,Y,N
455,Chestnut Hill Farmers' Market,-75.196931,40.06776,Y,Y,Y,Y,Y,N
457,Chico Certified Farmers Market - Chico Saturday,-121.838323,39.730823,Y,Y,Y,Y,Y,Y
459,Chico Certified Farmers Market - Chico Wednesday,-121.84845200000001,39.758425,Y,Y,Y,Y,Y,Y
461,Chico Certified Farmers Market - Paradise Tuesday,-121.595446,39.77368,Y,Y,Y,N,Y,N
463,Chilhowie Farmer's Market,-81.676633,36.80295,N,Y,Y,Y,Y,N
465,China Grove Farmers Market,-80.5778246,35.570981,N,-,Y,Y,Y,N
467,Chippewa Falls Farmers Market,-91.389337,44.934888,Y,-,Y,Y,Y,N
469,Church St Farmers Market,-84.750061,33.749649,N,-,Y,N,Y,N
471,Church Street Farmers' Market,-78.00807900000001,37.077436999999996,N,Y,Y,N,Y,N
473,City Center Farmers Market,-79.77358199999999,34.198789,N,Y,Y,Y,Y,Y
475,City Hall Parking Lot Deck (People's Open Market),-157.852699,21.305408,N,N,Y,N,Y,N
477,City Heights Certified Farmers Market,-117.101527,32.747817,Y,N,Y,N,Y,N
479,City Market,-85.475592,32.584813,N,Y,Y,Y,Y,Y
481,City of Loveland Farmers Market,-105.078652,40.387479,N,Y,Y,Y,Y,Y
483,City of North Adams Farmers' Market,-73.112792,42.700694,N,-,Y,Y,Y,N
485,City of Pittsburgh Carrick Farmers Market,-79.988803,40.400201,Y,-,Y,N,Y,N
487,City of Plymouth Farmers Market,-93.47341899999999,44.997274,N,-,Y,N,Y,N
489,City of Seven Hills Farmers Market,-81.684217,41.369164000000005,N,Y,Y,N,Y,N
491,City of St. Clair Shores Farmers Market,-82.93226800000001,42.695807099999996,Y,-,Y,N,Y,N
493,City of White Bear Lake Farmer's Market,-93.009953,45.084125,N,Y,Y,Y,Y,Y
495,CitySeed Edgewood Park Farmers Market,-72.958562,41.325348,Y,Y,Y,Y,Y,N
497,CitySeed Fair Haven Farmers Market,-72.888848,41.308956,Y,Y,Y,N,Y,N
499,CitySeed Winter Market,-72.9188338,41.3011808,Y,Y,Y,Y,Y,N
501,CitySeed Wooster Square Farmers Market,-72.91784799999999,41.303232,Y,Y,Y,Y,Y,N
503,Claremont Farmers & Artisans Market,-117.71641799999999,34.095597999999995,Y,Y,Y,Y,Y,Y
505,Claremont Farmers' Market,-72.33930500000001,43.375823,N,-,Y,Y,Y,N
507,Clarence Hollow Farmers' Market,-78.58945,42.98032,N,N,Y,Y,Y,N
509,Clarkston Farmers Market,-117.039927,46.410563,Y,-,Y,N,Y,Y
511,Clay Center Farmers Market,-97.126471,39.376936,N,-,Y,Y,Y,N
513,Cleburne Farmers Market,-97.407713,32.339893,N,N,Y,Y,Y,N
515,Clemmons Farmers Market,-80.386699,36.033223,N,-,Y,Y,Y,N
517,Cleveland Park Farmers Market,-77.058379,38.934816999999995,N,-,Y,N,Y,N
519,Clifton Park Farmers' Market,-73.809271,42.869606,Y,N,Y,Y,Y,N
521,Clinton Farmers Market,-75.378462,43.048866,N,Y,Y,Y,Y,N
523,Clintonville Farmers' Market,-83.016501,40.034269,Y,Y,Y,Y,Y,Y
525,Clio Market,-85.619065,31.707814399999997,N,Y,Y,N,N,N
527,CMS Farmers Market,-76.764414,39.316055,N,-,Y,N,Y,N
529,Co-Operative Farmers Market,-75.66249599999999,41.422523,Y,-,Y,N,Y,N
531,Coastal Growers Farmers Market,-71.485463,41.572691,Y,Y,Y,Y,Y,N
533,Coastal Growers Market,-71.423632,41.512,Y,Y,Y,Y,Y,Y
535,Coastside Farmers' Market - Half Moon Bay ,-122.43737800000001,37.466770000000004,Y,Y,Y,Y,Y,Y
537,"Coastside Farmers' Market - Rockaway Beach, Pacifica",-122.495081,37.609415000000006,Y,Y,Y,Y,Y,Y
539,College Place Farmers & Artisan Market,-118.377845,46.041708,Y,Y,Y,N,Y,N
541,Collinsville Farmers Market,-72.923264,41.810819,Y,Y,Y,Y,Y,N
543,Colorado Farm and Art Market,-104.814688,38.937715999999995,N,N,Y,Y,Y,N
545,Colorado Farm and Art Market,-104.82230899999999,38.830543,N,Y,Y,Y,Y,N
547,Columbia Farmers Fresh Market ,-87.03048079999999,35.6187845,Y,N,Y,Y,Y,N
549,Columbia Farmers Market,-92.36462399999999,38.958293,N,Y,Y,Y,Y,N
551,Columbia Farmory and Mountain People Organics,-120.41001100000001,38.029395,N,Y,Y,Y,Y,Y
553,Columbus Farmers Market,-97.36036,41.430012,Y,-,Y,Y,Y,N
555,Columbus KS Farmers Market,-94.831459,37.171861,N,Y,Y,Y,Y,N
557,Colusa Certified Farmers Market,-122.01403799999999,39.214999,Y,N,Y,Y,Y,N
559,Colwell's Farmers Market,-96.9110998,33.5491175,N,N,Y,N,Y,N
561,Como Farmer's Market,-89.939947,34.513560999999996,N,-,Y,N,N,N
563,Connecticut's Old State House Farmers Market,-72.672892,41.766118,N,-,Y,Y,Y,N
565,Conway Farmers Market,-79.044831,33.833331,Y,-,Y,Y,Y,N
567,Conway Farmers' Market,-92.41257,35.077695,Y,N,Y,Y,Y,N
569,Coos Bay Farmers Market,-124.215299,43.367982,Y,Y,Y,Y,Y,N
571,Coralville Farmers' Market,-91.58415500000001,41.678726,Y,-,Y,Y,Y,N
573,Corpus Christi Downtown Farmers' Market,-97.392206,27.791601,N,N,Y,Y,Y,N
575,Cortez Farmers Market,-108.58763400000001,37.348444,N,-,Y,Y,Y,N
577,Cotati Community Farmers Market ,-122.707298,38.326544,Y,Y,Y,Y,Y,N
579,Cottage House Youth Market,-85.674054,31.64705,N,Y,Y,N,Y,N
581,Cottin's Hardware Farmers Market,-95.235146,38.950747,Y,Y,Y,Y,Y,Y
583,Cotton Mill Farmers Market,-85.07274,33.571346999999996,N,Y,Y,Y,Y,N
585,Country Lane Farmers Market,-91.82851600000001,45.443768,N,Y,Y,Y,Y,Y
587,Countryside Farmers' Market at Highland Square,-81.55327199999999,41.098698,Y,N,Y,Y,Y,N
589,Countryside Farmers' Market at Howe Meadow,-81.583614,41.189312,Y,Y,Y,Y,Y,Y
591,Countryside Public Market,-81.51587099999999,41.08885,Y,N,Y,Y,Y,N
593,Countryside Winter Farmers' Market,-81.589922,41.192676,N,Y,Y,Y,Y,Y
595,Coventry Farmers' Market (formerly Coventry Regional Farmers' Market),-72.345186,41.764283,Y,Y,Y,Y,Y,N
597,Covington Farmers Market,-84.50885500000001,39.088659,N,N,Y,Y,Y,N
599,Cowtown Farmers Market,-97.442048,32.716446999999995,N,N,Y,Y,Y,N
601,Cozad Grand Generation Center,-99.99011540000001,40.860622799999994,N,Y,Y,N,Y,N
603,Craft Market,-109.58853,44.5205554,N,Y,N,N,Y,N
605,Cranston Farmers Market ,-71.452664,41.784704,Y,-,Y,N,Y,N
607,Crawfordsville Farmers Market,-86.90373199999999,40.040652,N,-,Y,Y,Y,N
609,Crawfordsville Winter Market,-86.896007,40.046040000000005,N,-,Y,Y,Y,N
611,Crenshaw Farmers' Market,-118.335422,34.008706,Y,Y,Y,N,Y,N
613,Crescent City Farmers Market,-90.133127,29.932171000000004,Y,Y,Y,Y,Y,Y
615,Crescent City Farmers Market,-90.058904,29.960278999999996,Y,Y,Y,N,Y,N
617,Crescent City Farmers Market,-90.133127,29.932159000000002,Y,Y,Y,Y,Y,Y
619,Croghan Colonial Bank Farmers Market,-83.11354990000001,41.345408,Y,-,Y,Y,Y,N
621,Cross County Farmer's Market,-90.78648299999999,35.223532,N,N,Y,N,N,N
623,Crossroads Farmers Market,-76.990169,38.990479,Y,Y,Y,Y,Y,Y
625,Crystal Lake Farmers Market,-88.31701,42.243752,Y,-,Y,Y,Y,Y
