,FMID,x,y,WIC,SNAP,Fruits,Vegetables,Organic,Meat
75,1019647.0,-82.652197,34.506898,Y,Y,Y,Y,-,Y
76,,,,,,,,,
77,1020084.0,-84.917629,38.076446999999995,N,N,Y,Y,-,Y
78,,,,,,,,,
79,1003516.0,-87.668602,41.981745000000004,Y,Y,Y,Y,Y,Y
80,,,,,,,,,
81,1020060.0,-71.14313800000001,42.653616,Y,Y,Y,Y,Y,N
82,,,,,,,,,
83,1019484.0,-77.196229,38.832801,N,N,Y,Y,N,Y
84,,,,,,,,,
85,1019096.0,-94.12383220000001,45.2636097,N,Y,Y,Y,Y,N
86,,,,,,,,,
87,1018934.0,-89.14985,45.138703,Y,N,Y,Y,N,Y
88,,,,,,,,,
89,1019350.0,-88.09456999999999,42.478128000000005,N,N,Y,N,-,N
90,,,,,,,,,
91,1000431.0,-88.40703,44.26201,Y,Y,Y,Y,Y,Y
92,,,,,,,,,
93,1021359.0,-71.30583100000001,41.483658,N,Y,Y,Y,Y,Y
94,,,,,,,,,
95,1021360.0,-71.304641,41.509139000000005,N,Y,Y,Y,Y,Y
96,,,,,,,,,
97,1019813.0,-71.26137800000001,41.546506,Y,Y,Y,Y,Y,Y
98,,,,,,,,,
99,1019662.0,-73.146078,43.072884,N,N,Y,Y,N,Y
100,,,,,,,,,
101,1019904.0,-71.4316,41.814766999999996,Y,Y,Y,Y,-,N
102,,,,,,,,,
103,1019222.0,-90.353093,38.453275,N,N,Y,Y,Y,Y
104,,,,,,,,,
105,1019495.0,-81.30434100000001,29.027562,N,Y,Y,Y,N,Y
106,,,,,,,,,
107,1020068.0,-82.073422,33.365531,N,Y,Y,Y,-,N
108,,,,,,,,,
109,1009810.0,-71.461538,42.260027,Y,Y,Y,Y,Y,Y
110,,,,,,,,,
111,1001245.0,-90.667327,35.840771000000004,Y,Y,Y,Y,N,Y
112,,,,,,,,,
113,1002984.0,-95.119878,39.560736999999996,N,Y,Y,Y,N,Y
114,,,,,,,,,
115,1005086.0,-82.05662199999999,39.336038,Y,Y,Y,Y,Y,Y
116,,,,,,,,,
117,1018033.0,-83.380247,33.959088,N,Y,Y,Y,Y,Y
118,,,,,,,,,
119,1018032.0,-83.4121317,33.9644564,N,Y,Y,Y,Y,Y
120,,,,,,,,,
121,1021450.0,-116.707904,47.944594,N,Y,Y,Y,N,Y
122,,,,,,,,,
123,1018330.0,-71.299235,41.937562,N,N,Y,Y,Y,Y
124,,,,,,,,,
125,1021225.0,-118.26015100000001,34.117828,Y,Y,Y,Y,Y,N
126,,,,,,,,,
127,1019789.0,-122.21845900000001,47.298266999999996,Y,Y,Y,Y,Y,Y
128,,,,,,,,,
129,1021329.0,-76.699995,42.744684,N,N,Y,Y,-,N
130,,,,,,,,,
131,1000559.0,-93.72018670000001,36.948908,N,N,Y,Y,N,N
132,,,,,,,,,
133,1019396.0,-86.38263,39.765279,Y,Y,N,N,-,Y
134,,,,,,,,,
135,1019126.0,-72.860448,41.78971,Y,Y,Y,Y,Y,N
136,,,,,,,,,
137,1019044.0,-86.817696,39.762232899999994,Y,N,Y,Y,Y,Y
138,,,,,,,,,
139,1019076.0,-92.370763,44.966999,N,N,Y,Y,Y,Y
140,,,,,,,,,
141,1021338.0,-122.3845,47.667512,Y,Y,Y,Y,Y,Y
142,,,,,,,,,
143,1012081.0,-68.771649,44.8039587,Y,Y,Y,Y,Y,Y
144,,,,,,,,,
145,1001604.0,-74.221654,39.753903,N,Y,Y,Y,-,N
146,,,,,,,,,
147,1020029.0,-83.72112299999999,33.993074,N,N,Y,Y,Y,N
148,,,,,,,,,
149,1003335.0,-107.03473600000001,39.368957,N,Y,Y,Y,N,Y
150,,,,,,,,,
151,1019871.0,-99.536625,42.582541,N,N,N,Y,-,N
152,,,,,,,,,
153,1000436.0,-97.311627,30.111777000000004,N,Y,Y,Y,N,Y
154,,,,,,,,,
155,1021265.0,-85.221859,39.298852000000004,N,N,Y,Y,-,N
156,,,,,,,,,
157,1021443.0,-85.18515,42.32009,Y,Y,Y,Y,N,Y
158,,,,,,,,,
159,1019617.0,-95.15068199999999,29.548702000000002,N,N,Y,Y,-,Y
160,,,,,,,,,
161,1019874.0,-96.74730100000001,40.273594,N,N,Y,Y,-,N
162,,,,,,,,,
163,1020102.0,-83.70563299999999,37.591128999999995,Y,N,Y,Y,N,N
164,,,,,,,,,
165,1018735.0,-94.169203,30.067686,N,N,Y,Y,N,Y
166,,,,,,,,,
167,1019875.0,-99.82761500000001,40.138332,N,N,Y,Y,-,N
168,,,,,,,,,
169,1020097.0,-86.877647,37.407199,N,N,N,Y,N,Y
170,,,,,,,,,
171,1018759.0,-93.6731823,41.620058,Y,Y,Y,Y,-,Y
172,,,,,,,,,
173,1019853.0,-71.525849,42.938268,N,N,Y,Y,Y,Y
174,,,,,,,,,
175,1019400.0,-74.646889,40.662856,N,N,Y,Y,Y,Y
176,,,,,,,,,
177,1010607.0,-76.351011,39.535284000000004,Y,N,Y,Y,Y,Y
178,,,,,,,,,
179,1011902.0,-97.630924,39.822988,N,N,Y,Y,N,N
180,,,,,,,,,
181,1021363.0,-83.482812,42.201917,N,N,N,Y,Y,N
182,,,,,,,,,
183,1008140.0,-122.46965700000001,48.75262,Y,Y,Y,Y,Y,N
184,,,,,,,,,
185,1002064.0,-78.053508,42.234077,Y,Y,Y,Y,N,Y
186,,,,,,,,,
187,1011363.0,-94.52525200000001,38.808556,N,N,Y,Y,-,N
188,,,,,,,,,
189,1001316.0,-94.88060899999999,47.469337,Y,N,Y,Y,Y,Y
190,,,,,,,,,
191,1001533.0,-122.161188,38.046215000000004,Y,Y,Y,Y,Y,Y
192,,,,,,,,,
193,1018644.0,-96.503262,40.680611999999996,N,N,Y,Y,Y,Y
194,,,,,,,,,
195,1021403.0,-94.208458,36.372637,Y,Y,Y,Y,N,N
196,,,,,,,,,
197,1005183.0,-78.22753399999999,39.624722,N,Y,Y,Y,Y,Y
198,,,,,,,,,
199,1019005.0,-83.83941800000001,41.715538,N,N,Y,Y,-,N
200,,,,,,,,,
201,1019707.0,-70.86243,43.269956,N,Y,Y,Y,Y,Y
202,,,,,,,,,
203,1021239.0,-70.86243,43.269956,N,Y,N,Y,Y,Y
204,,,,,,,,,
205,1019168.0,-86.95137,33.40113,N,Y,Y,Y,-,N
206,,,,,,,,,
207,1019169.0,-86.99064399999999,33.373082000000004,N,Y,Y,Y,N,N
208,,,,,,,,,
209,1019967.0,-90.05346800000001,38.902967,N,N,Y,Y,-,Y
210,,,,,,,,,
211,1021322.0,-75.056515,38.538396999999996,N,N,Y,Y,Y,N
212,,,,,,,,,
213,1010406.0,-77.09989,38.986761,Y,N,Y,Y,Y,Y
214,,,,,,,,,
215,1012494.0,-75.37840290000001,40.6098058,Y,Y,Y,Y,N,Y
216,,,,,,,,,
217,1020196.0,-118.398746,34.073685,Y,Y,Y,Y,Y,N
218,,,,,,,,,
219,1019765.0,-82.935745,39.957135,Y,Y,Y,Y,Y,Y
220,,,,,,,,,
221,1005949.0,-116.86671399999999,34.260803,Y,Y,Y,Y,N,Y
222,,,,,,,,,
223,1019338.0,-93.758167,45.333773,N,Y,Y,Y,-,Y
224,,,,,,,,,
225,1019339.0,-93.747475,45.329205,N,Y,Y,Y,-,Y
226,,,,,,,,,
227,1019591.0,-71.269999,42.557646000000005,Y,Y,Y,Y,N,Y
228,,,,,,,,,
229,1011037.0,-100.796471,46.803081,N,Y,Y,Y,-,Y
230,,,,,,,,,
231,1012163.0,-74.955689,40.982893,N,Y,Y,Y,Y,Y
232,,,,,,,,,
233,1011829.0,-79.944435,40.459005,Y,Y,Y,Y,Y,Y
234,,,,,,,,,
235,1018396.0,-86.53694250000001,39.170308399999996,Y,Y,Y,Y,Y,Y
236,,,,,,,,,
237,1018563.0,-86.539649,39.149906,N,Y,Y,Y,Y,Y
238,,,,,,,,,
239,1019932.0,-84.389892,39.251798,N,N,Y,Y,-,N
240,,,,,,,,,
241,1020098.0,-84.418747,38.014875,Y,N,Y,Y,-,Y
242,,,,,,,,,
243,1019372.0,-83.892721,40.893082,N,N,Y,Y,Y,Y
244,,,,,,,,,
245,1019440.0,-85.172111,40.743479,N,N,Y,Y,-,N
246,,,,,,,,,
247,1018092.0,-76.601326,39.273864,Y,N,Y,Y,-,Y
248,,,,,,,,,
249,1018313.0,-116.444084,43.532957,N,Y,Y,Y,Y,Y
250,,,,,,,,,
251,1018316.0,-116.19193,43.60798,N,Y,Y,Y,Y,Y
252,,,,,,,,,
253,1020101.0,-84.721563,39.022231,Y,N,Y,Y,Y,Y
254,,,,,,,,,
255,1006833.0,-93.879688,42.062726,Y,Y,Y,Y,-,N
256,,,,,,,,,
257,1019318.0,-92.741591,38.955643,N,N,Y,Y,-,Y
258,,,,,,,,,
259,1019693.0,-79.912646,37.417795,N,N,Y,Y,-,Y
260,,,,,,,,,
261,1018394.0,-100.4459433,48.8262788,N,N,Y,Y,-,Y
262,,,,,,,,,
263,1001526.0,-112.11759199999999,46.239153,N,N,Y,Y,-,N
264,,,,,,,,,
265,1019165.0,-76.741902,38.978320000000004,Y,N,Y,Y,-,Y
266,,,,,,,,,
267,1020096.0,-82.630489,38.470783000000004,Y,N,Y,Y,N,Y
268,,,,,,,,,
269,1020099.0,-82.71255500000001,38.400138,Y,N,Y,Y,N,Y
270,,,,,,,,,
271,1019205.0,-85.015378,45.21685,Y,Y,Y,Y,Y,Y
272,,,,,,,,,
273,1021248.0,-95.477537,29.676944,N,Y,Y,Y,Y,Y
274,,,,,,,,,
275,1018227.0,-71.004927,42.206437,Y,Y,Y,Y,Y,Y
276,,,,,,,,,
277,1002407.0,-72.58407,42.8499,Y,Y,Y,Y,Y,Y
278,,,,,,,,,
279,1011075.0,-72.56016600000001,42.850844,N,Y,Y,Y,Y,Y
280,,,,,,,,,
281,1020113.0,-83.348327,37.535327,N,N,Y,Y,-,N
282,,,,,,,,,
283,1018556.0,-122.62886599999999,47.574253000000006,Y,Y,Y,Y,Y,Y
284,,,,,,,,,
285,1019146.0,-74.60797600000001,40.588552,N,N,Y,Y,Y,N
286,,,,,,,,,
287,1018756.0,-112.01505700000001,41.510773,N,Y,Y,Y,-,Y
288,,,,,,,,,
289,1005483.0,-72.199901,42.122751,Y,Y,Y,Y,Y,Y
290,,,,,,,,,
291,1019905.0,-71.41892,41.801869,Y,Y,Y,Y,-,N
292,,,,,,,,,
293,1019257.0,-78.799904,38.611375,N,Y,Y,Y,N,Y
294,,,,,,,,,
295,1019984.0,-71.018866,42.082799,N,Y,Y,Y,N,N
296,,,,,,,,,
297,1019794.0,-82.976997,39.97139,N,N,Y,Y,-,N
298,,,,,,,,,
299,1019527.0,-124.24496299999998,42.037301,Y,Y,Y,Y,Y,Y
300,,,,,,,,,
301,1021210.0,-71.12378199999999,42.34219,Y,Y,Y,Y,Y,Y
302,,,,,,,,,
303,1018891.0,-82.449304,28.654639000000003,N,Y,Y,Y,-,Y
304,,,,,,,,,
305,1021262.0,-75.904648,42.129759,Y,Y,Y,Y,Y,N
306,,,,,,,,,
307,1019906.0,-71.40003100000001,41.826418,Y,Y,Y,Y,-,N
308,,,,,,,,,
309,1019727.0,-86.396445,39.844272,Y,Y,Y,Y,-,Y
310,,,,,,,,,
311,1017968.0,-91.2746971,45.455110100000006,Y,N,Y,Y,N,Y
312,,,,,,,,,
313,1008607.0,-69.995923,43.890786,N,Y,Y,Y,-,Y
314,,,,,,,,,
315,1021311.0,-75.31706700000001,40.021167999999996,Y,N,Y,Y,Y,Y
316,,,,,,,,,
317,1019218.0,-76.29180699999999,37.041273,N,N,Y,Y,N,N
318,,,,,,,,,
319,1008953.0,-68.796497,44.572635999999996,Y,Y,Y,Y,Y,Y
320,,,,,,,,,
321,1000843.0,-118.30797709999999,34.1828004,Y,Y,Y,Y,Y,Y
322,,,,,,,,,
323,1019492.0,-77.263568,38.776990999999995,N,N,Y,Y,Y,Y
324,,,,,,,,,
325,1019965.0,-73.21541500000001,44.46973,N,Y,Y,Y,Y,Y
326,,,,,,,,,
327,1019799.0,-71.67712399999999,41.967496000000004,Y,Y,Y,Y,-,N
328,,,,,,,,,
329,1002567.0,-86.61770899999999,31.830281,N,N,Y,Y,Y,N
330,,,,,,,,,
331,1001362.0,-112.5364,46.01269,Y,Y,Y,Y,Y,N
332,,,,,,,,,
333,1021238.0,-95.26831,29.988144000000002,N,N,Y,Y,Y,Y
334,,,,,,,,,
335,1020089.0,-87.835998,36.862889,Y,N,Y,Y,-,N
336,,,,,,,,,
337,1004927.0,-81.678425,28.355644,N,N,Y,Y,-,N
338,,,,,,,,,
339,1019922.0,-120.667822,38.191243,Y,Y,Y,Y,N,N
340,,,,,,,,,
341,1019978.0,-120.463811,38.13686,Y,Y,Y,Y,Y,Y
342,,,,,,,,,
343,1018263.0,-72.01683100000001,44.417224,N,Y,Y,Y,Y,Y
344,,,,,,,,,
345,1019980.0,-87.82288299999999,42.769605,Y,N,Y,Y,-,N
346,,,,,,,,,
347,1020188.0,-122.13255,37.46778,Y,Y,Y,Y,Y,Y
348,,,,,,,,,
349,1018459.0,-76.499596,38.294523999999996,Y,N,Y,Y,Y,Y
350,,,,,,,,,
351,1019997.0,-119.041574,34.216518,Y,N,Y,Y,Y,Y
352,,,,,,,,,
353,1020160.0,-121.09662900000001,35.564323,Y,Y,Y,Y,Y,Y
354,,,,,,,,,
355,1020183.0,-121.81930600000001,37.296867,Y,N,Y,Y,Y,Y
356,,,,,,,,,
357,1002674.0,-89.780754,30.275994,N,Y,Y,Y,Y,Y
358,,,,,,,,,
359,1020117.0,-84.392139,38.97801,Y,N,Y,Y,-,N
360,,,,,,,,,
361,1020118.0,-84.45186600000001,39.028828999999995,Y,N,Y,Y,-,N
362,,,,,,,,,
363,1020119.0,-84.491761,39.090164,Y,N,Y,Y,-,N
364,,,,,,,,,
365,1020184.0,-121.954352,37.280232,Y,Y,Y,Y,Y,Y
366,,,,,,,,,
367,1009034.0,-71.797436,42.256235,N,N,Y,Y,Y,Y
368,,,,,,,,,
369,1019810.0,-82.401032,40.056585999999996,Y,Y,Y,Y,Y,N
370,,,,,,,,,
371,1021202.0,-78.388368,43.220102000000004,Y,Y,Y,Y,N,Y
372,,,,,,,,,
373,1012038.0,-118.60161200000002,34.203746,Y,Y,Y,Y,Y,Y
374,,,,,,,,,
375,1019772.0,-83.533591,42.308840999999994,Y,Y,Y,Y,Y,Y
376,,,,,,,,,
377,1021435.0,-81.374888,40.80065,Y,Y,Y,Y,-,Y
378,,,,,,,,,
379,1021294.0,-81.954459,26.564457,N,Y,Y,Y,Y,Y
380,,,,,,,,,
381,1005285.0,-89.519874,37.302699,N,N,Y,Y,-,Y
382,,,,,,,,,
383,1011930.0,-75.5262294,39.1576541,Y,Y,Y,Y,-,N
384,,,,,,,,,
385,1018359.0,-77.03025600000001,38.894748,N,N,Y,Y,N,N
386,,,,,,,,,
387,1008450.0,-121.92703940000001,36.9872756,Y,N,Y,Y,Y,N
388,,,,,,,,,
389,1006651.0,-121.912419,47.648587,Y,Y,Y,Y,Y,Y
390,,,,,,,,,
391,1019417.0,-82.4614,34.641892,N,N,Y,Y,-,N
392,,,,,,,,,
393,1021269.0,-79.077607,35.910781,Y,Y,Y,Y,Y,Y
394,,,,,,,,,
395,1008322.0,-93.496941,39.358096999999994,N,N,Y,Y,Y,N
396,,,,,,,,,
397,1021213.0,-119.76816399999998,39.162841,Y,Y,Y,Y,Y,Y
398,,,,,,,,,
399,1020071.0,-82.904359,38.331557000000004,Y,N,Y,Y,N,N
400,,,,,,,,,
401,1020074.0,-83.180887,38.29761,Y,N,Y,Y,N,N
402,,,,,,,,,
403,1012093.0,-70.769182,41.888852,N,N,Y,Y,N,Y
404,,,,,,,,,
405,1008276.0,-81.26950699999999,35.712066,Y,Y,Y,Y,-,N
406,,,,,,,,,
407,1019159.0,-80.1068482,37.3835006,N,N,Y,Y,N,Y
408,,,,,,,,,
409,1021242.0,-85.33655999999999,34.1069,Y,Y,Y,Y,N,N
410,,,,,,,,,
411,1012484.0,-122.8141034,45.5263877,Y,Y,Y,Y,N,Y
412,,,,,,,,,
413,1019842.0,-77.083526,34.68261,N,N,Y,Y,Y,Y
414,,,,,,,,,
415,1021362.0,-84.58282700000001,40.549633,N,N,Y,Y,-,Y
416,,,,,,,,,
417,1018734.0,-96.7869845,33.3247511,N,N,Y,Y,-,Y
418,,,,,,,,,
419,1021226.0,-118.256796,34.005326000000004,Y,Y,Y,Y,Y,N
420,,,,,,,,,
421,1019907.0,-71.39565,41.885605,Y,Y,Y,Y,-,N
422,,,,,,,,,
423,1019618.0,-122.680109,47.650238,Y,Y,Y,Y,-,Y
424,,,,,,,,,
425,1020142.0,-116.52525800000001,33.817078,Y,Y,Y,Y,N,Y
426,,,,,,,,,
427,1020141.0,-116.521181,33.820251,Y,Y,Y,Y,-,Y
428,,,,,,,,,
429,1020058.0,-119.776881,36.874654,Y,Y,Y,Y,Y,N
430,,,,,,,,,
431,1020057.0,-119.789099,36.849327,Y,Y,Y,Y,Y,N
432,,,,,,,,,
433,1020056.0,-119.78909499999999,36.849308,Y,Y,Y,Y,Y,N
434,,,,,,,,,
435,1019225.0,-114.227231,44.505154,N,N,Y,Y,N,N
436,,,,,,,,,
437,1021267.0,-73.323048,44.661840999999995,N,Y,Y,Y,Y,Y
438,,,,,,,,,
439,1018886.0,-77.85845400000001,39.289072999999995,Y,Y,Y,Y,-,Y
440,,,,,,,,,
441,1017995.0,-94.0363153,35.2970353,N,N,Y,Y,N,N
442,,,,,,,,,
443,1019788.0,-71.630764,41.384847,N,Y,Y,Y,-,N
444,,,,,,,,,
445,1011689.0,,,N,N,Y,Y,N,Y
446,,,,,,,,,
447,1005834.0,-69.962249,41.676615000000005,Y,Y,Y,Y,Y,Y
448,,,,,,,,,
449,1019881.0,-96.222387,41.775832,N,N,Y,Y,-,N
450,,,,,,,,,
451,1004754.0,-72.44747,43.98878,N,Y,Y,Y,-,Y
452,,,,,,,,,
453,1008606.0,-77.504419,37.376728,N,N,Y,Y,-,N
454,,,,,,,,,
455,1021310.0,-75.196931,40.06776,Y,N,Y,Y,Y,Y
456,,,,,,,,,
457,1020128.0,-121.838323,39.730823,Y,Y,Y,Y,Y,Y
458,,,,,,,,,
459,1020129.0,-121.84845200000001,39.758425,Y,Y,Y,Y,Y,Y
460,,,,,,,,,
461,1020127.0,-121.595446,39.77368,Y,Y,Y,Y,Y,N
462,,,,,,,,,
463,1001763.0,-81.676633,36.80295,N,Y,Y,Y,Y,Y
464,,,,,,,,,
465,1019104.0,-80.5778246,35.570981,N,Y,Y,Y,-,Y
466,,,,,,,,,
467,1008409.0,-91.389337,44.934888,Y,N,Y,Y,-,Y
468,,,,,,,,,
469,1021237.0,-84.750061,33.749649,N,Y,Y,Y,-,N
470,,,,,,,,,
471,1004360.0,-78.00807900000001,37.077436999999996,N,N,Y,Y,Y,N
472,,,,,,,,,
473,1019141.0,-79.77358199999999,34.198789,N,Y,Y,Y,Y,Y
474,,,,,,,,,
475,1005250.0,-157.852699,21.305408,N,Y,Y,Y,N,N
476,,,,,,,,,
477,1021199.0,-117.101527,32.747817,Y,Y,Y,Y,N,N
478,,,,,,,,,
479,1019717.0,-85.475592,32.584813,N,N,Y,Y,Y,Y
480,,,,,,,,,
481,1004255.0,-105.078652,40.387479,N,Y,Y,Y,Y,Y
482,,,,,,,,,
483,1017956.0,-73.112792,42.700694,N,Y,Y,Y,-,Y
484,,,,,,,,,
485,1017930.0,-79.988803,40.400201,Y,Y,Y,Y,-,N
486,,,,,,,,,
487,1000303.0,-93.47341899999999,44.997274,N,N,Y,Y,-,N
488,,,,,,,,,
489,1021433.0,-81.684217,41.369164000000005,N,N,Y,Y,Y,N
490,,,,,,,,,
491,1021420.0,-82.93226800000001,42.695807099999996,Y,Y,Y,Y,-,N
492,,,,,,,,,
493,1006460.0,-93.009953,45.084125,N,N,Y,Y,Y,Y
494,,,,,,,,,
495,1005940.0,-72.958562,41.325348,Y,Y,Y,Y,Y,Y
496,,,,,,,,,
497,1005941.0,-72.888848,41.308956,Y,Y,Y,Y,Y,N
498,,,,,,,,,
499,1019206.0,-72.9188338,41.3011808,Y,Y,Y,Y,Y,Y
500,,,,,,,,,
501,1005943.0,-72.91784799999999,41.303232,Y,Y,Y,Y,Y,Y
502,,,,,,,,,
503,1002106.0,-117.71641799999999,34.095597999999995,Y,Y,Y,Y,Y,Y
504,,,,,,,,,
505,1019061.0,-72.33930500000001,43.375823,N,Y,Y,Y,-,Y
506,,,,,,,,,
507,1000579.0,-78.58945,42.98032,N,N,Y,Y,N,Y
508,,,,,,,,,
509,1019840.0,-117.039927,46.410563,Y,Y,Y,Y,-,N
510,,,,,,,,,
511,1021441.0,-97.126471,39.376936,N,N,Y,Y,-,Y
512,,,,,,,,,
513,1019110.0,-97.407713,32.339893,N,Y,Y,Y,N,Y
514,,,,,,,,,
515,1019741.0,-80.386699,36.033223,N,N,Y,Y,-,Y
516,,,,,,,,,
517,1019704.0,-77.058379,38.934816999999995,N,Y,Y,Y,-,N
518,,,,,,,,,
519,1018381.0,-73.809271,42.869606,Y,N,Y,Y,N,Y
520,,,,,,,,,
521,1019823.0,-75.378462,43.048866,N,Y,Y,Y,Y,Y
522,,,,,,,,,
523,1019763.0,-83.016501,40.034269,Y,Y,Y,Y,Y,Y
524,,,,,,,,,
525,1000549.0,-85.619065,31.707814399999997,N,Y,N,Y,Y,N
526,,,,,,,,,
527,1002808.0,-76.764414,39.316055,N,N,Y,Y,-,N
528,,,,,,,,,
529,1019474.0,-75.66249599999999,41.422523,Y,N,Y,Y,-,N
530,,,,,,,,,
531,1018969.0,-71.485463,41.572691,Y,Y,Y,Y,Y,Y
532,,,,,,,,,
533,1019821.0,-71.423632,41.512,Y,Y,Y,Y,Y,Y
534,,,,,,,,,
535,1020135.0,-122.43737800000001,37.466770000000004,Y,Y,Y,Y,Y,Y
536,,,,,,,,,
537,1020137.0,-122.495081,37.609415000000006,Y,Y,Y,Y,Y,Y
538,,,,,,,,,
539,1021232.0,-118.377845,46.041708,Y,Y,Y,Y,Y,N
540,,,,,,,,,
541,1001290.0,-72.923264,41.810819,Y,Y,Y,Y,Y,Y
542,,,,,,,,,
543,1000210.0,-104.814688,38.937715999999995,N,Y,Y,Y,N,Y
544,,,,,,,,,
545,1009656.0,-104.82230899999999,38.830543,N,Y,Y,Y,Y,Y
546,,,,,,,,,
547,1018196.0,-87.03048079999999,35.6187845,Y,N,Y,Y,N,Y
548,,,,,,,,,
549,1019790.0,-92.36462399999999,38.958293,N,Y,Y,Y,Y,Y
550,,,,,,,,,
551,1010758.0,-120.41001100000001,38.029395,N,N,Y,Y,Y,Y
552,,,,,,,,,
553,1019483.0,-97.36036,41.430012,Y,N,Y,Y,-,Y
554,,,,,,,,,
555,1019199.0,-94.831459,37.171861,N,Y,Y,Y,Y,Y
556,,,,,,,,,
557,1020124.0,-122.01403799999999,39.214999,Y,Y,Y,Y,N,Y
558,,,,,,,,,
559,1011003.0,-96.9110998,33.5491175,N,Y,Y,Y,N,N
560,,,,,,,,,
561,1019592.0,-89.939947,34.513560999999996,N,N,N,Y,-,N
562,,,,,,,,,
563,1019042.0,-72.672892,41.766118,N,N,Y,Y,-,Y
564,,,,,,,,,
565,1012030.0,-79.044831,33.833331,Y,Y,Y,Y,-,Y
566,,,,,,,,,
567,1021396.0,-92.41257,35.077695,Y,N,Y,Y,N,Y
568,,,,,,,,,
569,1006766.0,-124.215299,43.367982,Y,Y,Y,Y,Y,Y
570,,,,,,,,,
571,1018190.0,-91.58415500000001,41.678726,Y,N,Y,Y,-,Y
572,,,,,,,,,
573,1012666.0,-97.392206,27.791601,N,N,Y,Y,N,Y
574,,,,,,,,,
575,1008959.0,-108.58763400000001,37.348444,N,Y,Y,Y,-,Y
576,,,,,,,,,
577,1018629.0,-122.707298,38.326544,Y,Y,Y,Y,Y,Y
578,,,,,,,,,
579,1010975.0,-85.674054,31.64705,N,Y,Y,Y,Y,N
580,,,,,,,,,
581,1004382.0,-95.235146,38.950747,Y,Y,Y,Y,Y,Y
582,,,,,,,,,
